contexto,ordem,municipio,portal_oficial,url_informada,url_avaliada,status_validacao_browser,titulo,nota,praticas,aceitaveis,nao_aceitaveis,verificar_manual,json,pdf,erro
ouvidorias,1,Acorizal,https://www.acorizal.mt.gov.br/,https://www.acorizal.mt.gov.br/,https://gws-sistemas.com.br/ouvidoria.pm.acorizal/novo-protocolo,FORMULARIO_FINAL_CONFIRMADO,,,,,,,,,"API respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/aHR0cHM6Ly9nd3Mtc2lzdGVtYXMuY29tLmJyL291dmlkb3JpYS5wbS5hY29yaXphbC9ub3ZvLXByb3RvY29sbw%3D%3D"",""timestamp"":""2026-09-21T23:37:59.713Z"",""stack"":""Error: Invalid resource: QualWeb returned an empty report.\n    at Object.evaluate (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/qualweb.ts:64:13)\n    at async executeUrlEvaluation (/home/jesus/f"
ouvidorias,4,Alto Boa Vista,https://www.altoboavista.mt.gov.br,https://gws-sistemas.com.br/cartadeservico.pm.altoboavista/geral-2/servico-de-informacao-ao-cidadao-sic,https://ouvidoria.pm.altoboavista.gws-sistemas.com.br/,ERRO_DNS,,,,,,,,,"API respondeu HTTP 400: {""statusCode"":400,""error"":""Bad Request"",""message"":""The URL provided is invalid."",""path"":""/amp/eval/aHR0cHM6Ly9vdXZpZG9yaWEucG0uYWx0b2JvYXZpc3RhLmd3cy1zaXN0ZW1hcy5jb20uYnIv"",""timestamp"":""2026-09-21T23:37:59.827Z"",""stack"":""InvalidUrlException: The URL provided is invalid.\n    at validateUrlRestriction (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/common/util.ts:21:11)\n    at async AmpService.evaluateUrl (/home/jesus/faculdade/grupo-pesquisa/"
ouvidorias,5,Alto Garças,https://www.altogarcas.mt.gov.br/,https://ouvidoria.altogarcas.mt.gov.br/,https://ouvidoria.altogarcas.mt.gov.br/Manifestacao/,FORMULARIO_FINAL_CONFIRMADO,Ouvidoria - Prefeitura de Alto Garças,7.2,32,138,26,1,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_ouvidorias_mt/2026-09-21/19-37-51/accessmonitor_ouvidoria.altogarcas.mt.gov.br_005.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_ouvidorias_mt/2026-09-21/19-37-51/accessmonitor_ouvidoria.altogarcas.mt.gov.br_005.pdf,
ouvidorias,3,Alto Araguaia,https://altoaraguaia.mt.gov.br/,https://altoaraguaia.mt.gov.br/contato,https://www.gp.srv.br/ouvidoria/altoaraguaia/#/portal/1/manifestacao,FORMULARIO_FINAL_CONFIRMADO,Portal Ouvidoria | PREFEITURA MUNICIPAL DE ALTO ARAGUAIA,7.3,32,90,25,2,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_ouvidorias_mt/2026-09-21/19-37-51/accessmonitor_www.gp.srv.br_003.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_ouvidorias_mt/2026-09-21/19-37-51/accessmonitor_www.gp.srv.br_003.pdf,
ouvidorias,6,Alto Paraguai,https://www.altoparaguai.mt.gov.br/,https://www.altoparaguai.mt.gov.br/,https://ouvidoria.altoparaguai.mt.gov.br/Manifestacao/,FORMULARIO_FINAL_CONFIRMADO,Ouvidoria - Prefeitura de Alto Paraguai - MT,7.0,33,161,33,2,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_ouvidorias_mt/2026-09-21/19-37-51/accessmonitor_ouvidoria.altoparaguai.mt.gov.br_006.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_ouvidorias_mt/2026-09-21/19-37-51/accessmonitor_ouvidoria.altoparaguai.mt.gov.br_006.pdf,
ouvidorias,7,Alto Taquari,https://www.altotaquari.mt.gov.br/,https://www.altotaquari.mt.gov.br/portal/ouvidoria,https://www.gp.srv.br/ouvidoria/altotaquari/#/portal/1/manifestacao,FORMULARIO_FINAL_CONFIRMADO,Portal Ouvidoria | PREFEITURA MUNICIPAL DE ALTO TAQUARI,7.3,32,90,25,2,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_ouvidorias_mt/2026-09-21/19-37-51/accessmonitor_www.gp.srv.br_007.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_ouvidorias_mt/2026-09-21/19-37-51/accessmonitor_www.gp.srv.br_007.pdf,
ouvidorias,2,Alta Floresta,https://www.altafloresta.mt.gov.br/,https://cidadeonline.altafloresta.mt.gov.br/,https://www.gp.srv.br/adm_altafloresta/ouvidoria/#/home,ERRO_HTTP_504,,,,,,,,,Avaliação excedeu 45s.
ouvidorias,8,Apiacás,https://www.apiacas.mt.gov.br/,https://ouvidoria.apiacas.mt.gov.br/,https://ouvidoria.apiacas.mt.gov.br/Manifestacao/,FORMULARIO_FINAL_CONFIRMADO,Ouvidoria - Prefeitura Municipal de Apiacás,7.5,33,146,50,3,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_ouvidorias_mt/2026-09-21/19-37-51/accessmonitor_ouvidoria.apiacas.mt.gov.br_008.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_ouvidorias_mt/2026-09-21/19-37-51/accessmonitor_ouvidoria.apiacas.mt.gov.br_008.pdf,
ouvidorias,10,Araguainha,https://araguainha.mt.gov.br/,https://araguainha.mt.gov.br/,https://falabr.cgu.gov.br/v2/manifestacoes/registrar,FORMULARIO_FINAL_CONFIRMADO,Fala.BR - Plataforma Integrada de Ouvidoria e Acesso à Informação,8.3,35,380,24,2,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_ouvidorias_mt/2026-09-21/19-37-51/accessmonitor_falabr.cgu.gov.br_010.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_ouvidorias_mt/2026-09-21/19-37-51/accessmonitor_falabr.cgu.gov.br_010.pdf,
ouvidorias,15,Barra do Garças,https://www.barradogarcas.mt.gov.br/,https://ouvidoria.barradogarcas.mt.gov.br/,https://falabr.cgu.gov.br/v2/manifestacoes/registrar,FORMULARIO_FINAL_CONFIRMADO,Fala.BR - Plataforma Integrada de Ouvidoria e Acesso à Informação,8.3,35,380,24,2,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_ouvidorias_mt/2026-09-21/19-37-51/accessmonitor_falabr.cgu.gov.br_010.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_ouvidorias_mt/2026-09-21/19-37-51/accessmonitor_falabr.cgu.gov.br_010.pdf,
